,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
28,24763,24769,1038,846,1,4,6,4,4,4,12.0,53,+6.000,6432056,50,7,84.232,247.587,1
29,24785,24791,1039,846,1,4,11,6,6,6,8.0,59,+18.883,8393943,59,7,81.19800000000001,232.542,1
30,24814,24820,1040,846,1,4,8,15,15,15,0.0,52,0,0,50,5,97.377,216.198,11
31,24835,24841,1041,846,1,4,8,0,R,16,0.0,42,0,0,40,17,92.328,200.727,131
32,24852,24858,1042,846,1,4,8,13,13,13,0.0,65,0,0,65,3,79.36,211.073,11
33,24867,24873,1043,846,1,4,9,8,8,8,4.0,63,+21.131,5333561,63,8,78.069,226.368,1
34,24887,24893,1044,846,1,4,14,8,8,8,5.0,58,+1:01.259,6200572,58,1,96.806,198.508,1
35,24903,24909,1045,846,1,4,9,4,4,4,12.0,57,+11.337,10798852,53,7,93.588,208.18,1
36,24929,24935,1046,846,1,4,19,10,10,10,1.0,87,+19.541,5494655,85,11,57.27,222.713,1
37,24944,24950,1047,846,1,4,4,5,5,5,10.0,55,+1:00.729,5849374,53,12,101.964,196.092,1
38,24963,24969,1052,846,1,4,7,4,4,4,12.0,56,+46.466,5570363,38,6,94.396,206.398,1
39,24982,24988,1053,846,1,4,7,3,3,3,15.0,63,+23.702,7378300,63,3,78.259,225.819,1
40,25004,25010,1054,846,1,4,7,5,5,5,10.0,66,+51.369,5722790,55,7,81.696,205.038,1
41,25027,25033,1055,846,1,4,9,8,8,8,4.0,65,0,0,56,7,81.279,207.064,11
42,25042,25048,1056,846,1,4,5,3,3,3,15.0,78,+19.427,5956247,76,7,74.67,160.883,1
43,25064,25070,1057,846,1,4,9,5,5,5,10.0,51,+4.754,8021164,41,7,105.326,205.18,1
44,25084,25090,1059,846,1,4,8,5,5,5,10.0,53,+1:04.032,5309802,52,6,97.425,215.87,1
45,25104,25110,1058,846,1,4,3,5,5,5,10.0,70,0,0,65,7,68.903,225.604,11
46,25122,25128,1060,846,1,4,2,3,3,3,15.0,71,+20.019,5054562,62,10,68.471,227.027,1
47,25143,25149,1061,846,1,4,5,4,4,4,12.0,52,+28.573,7131857,44,9,91.42,231.979,1
